,date,text,followers,polarity,sentiment_confidence
536,2019-11-23 14:24:26,b'stock MSFT amp AAPL combined market cap larger Russell 2000 entire German stock',20,0.0,0.375
537,2019-11-23 14:22:13,b'Wan na Pro could ipad Pro new one #RT #Contest #Giveaway #Apple #AppleNews',402,-0.03181818181818183,0.30227272727272725
538,2019-11-23 14:21:30,b'Benefit Trend Momentum QQQ QQQ AAPL ALGN AMAT AMD AMGN CHTR',8428,0.0,0.0
539,2019-11-23 14:21:08,b'could pro #MacBook Pro owned one #RT #Giveaway #win #contest #Apple #AI #appleNews',402,0.8,0.4
540,2019-11-23 14:20:06,b'Give MacBook second monitor DUEX Pro portable dual monitor AAPL',1889,0.0,0.0
541,2019-11-23 14:18:56,b'Market Wizards Jack Schwager AAPL TSLA FB NFLX SGY REN CRMD TTOO',1136,0.0,0.0
542,2019-11-23 14:10:20,b'Weekend Review VIDEO 1124 TLT GLD SPY IWM KRE #QQQ SMH AMD MU NVDA LRCX INTC',2573,0.0,0.0
543,2019-11-23 14:08:44,b'Googles Stadia Faces Uphill Battle Microsoft Apple @themotleyfool #stocks GOOGL GOOG MSFT AAPL',500,0.0,0.0
544,2019-11-23 14:07:19,b'@Geck01 Think people appreciated importance last Xmas washout bigger 1987 index',7283,0.06666666666666667,0.22222222222222224
545,2019-11-23 14:06:42,b'Weekend Review VIDEO 1124 TLT GLD SPY IWM KRE #QQQ SMH AMD MU NVDA LRCX INTC',336,0.0,0.0
546,2019-11-23 14:05:22,b'POWER COMPOUNDING 122 starting 2000 2500 week challenge Swing Day Option Trading Ale',470,0.0,0.1
547,2019-11-23 14:04:07,b'VirnetX share plummeted much 50 Friday following report company damage award Apple va',2573,0.1,0.15000000000000002
548,2019-11-23 14:03:55,b'1122 Watchlist Results 122 starting 2000 2500 week challenge Swing Day Option Trading Alerts',2573,0.0,0.1
549,2019-11-23 14:01:22,b'1122 Watchlist Results 122 starting 2000 2500 week challenge Swing Day Option Trading Alerts',470,0.0,0.1
550,2019-11-23 14:01:21,b'Filter #options seasonal strength helpful find trade idea JPM AAPL FB',1884,0.0,0.0
551,2019-11-23 13:58:17,b'new MacBook Pro best work laptop Apple ever made still fall behind Windows rival two ke',220,0.2454545454545454,0.48484848484848486
552,2019-11-23 13:58:07,b'new MacBook Pro best work laptop Apple ever made still fall behind Windows rival two ke',3649,0.2454545454545454,0.48484848484848486
553,2019-11-23 13:57:28,b'new MacBook Pro best work laptop Apple ever made still fall behind Windows rival two ke',93,0.2454545454545454,0.48484848484848486
554,2019-11-23 13:55:46,b'10 Things Know new MacBook Pro best work laptop Apple ever made still fall behind Windo',158,0.2454545454545454,0.48484848484848486
555,2019-11-23 13:54:40,b'iPhone Pro Max go two full day recharge crazy good aapl',1080,0.15,0.6833333333333335
556,2019-11-23 13:54:24,b'new MacBook Pro best work laptop Apple ever made still fall behind Windows rival two ke',1237,0.2454545454545454,0.48484848484848486
557,2019-11-23 13:53:34,b'new MacBook Pro best work laptop Apple ever made still fall behind Windows rival two ke',3649,0.2454545454545454,0.48484848484848486
558,2019-11-23 13:53:25,b'@trucharts long time careful AAPL historically kept extremely high RSI good bill market',12,0.142,0.508
559,2019-11-23 13:53:18,b'Learn #business new MacBook Pro best work laptop Apple ever mad',110,0.17045454545454541,0.5848484848484848
560,2019-11-23 13:53:06,b'AAPL NEW ARTICLE Apple 65 Key Dow Surge Get latest AAPL related',70,0.1590909090909091,0.6886363636363636
561,2019-11-23 13:52:43,b'could pro #MacBook Pro owned one #RT #Giveaway #win #contest #Apple #AI #appleNews',813,0.8,0.4
562,2019-11-23 13:52:31,b'#aapl APPLE stock LEGAL STOCK PRICE AMIPULATION Net income revenue flat several quart EPS flat',33,0.030000000000000006,0.09
563,2019-11-23 13:51:06,b'Check new MacBook Pro best work laptop Apple ever made still fall behind Windows',1137,0.2454545454545454,0.48484848484848486
564,2019-11-23 13:51:05,b'Wan na Pro could ipad Pro new one #RT #Contest #Giveaway #Apple #AppleNews',813,-0.03181818181818183,0.30227272727272725
565,2019-11-23 13:50:32,b'new MacBook Pro best work laptop Apple ever made still fall behind Windows rival two ke',1219,0.2454545454545454,0.48484848484848486
566,2019-11-23 13:48:55,b'Investing Dummies Eric Tyson SPY AAPL GOOGL MSFT XOM BRK',1136,0.0,0.0
567,2019-11-23 13:47:58,b'VirnetX share plummeted much 50 Friday following report company damage award Apple',238,0.1,0.15000000000000002
568,2019-11-23 13:45:32,b'Apple granted patent automotive floor AAPL',1889,0.0,0.0
569,2019-11-23 13:43:30,b'@JeffMacke @carlquintanilla @TeflonGeek never used AAPL Glass',493,0.0,0.0
570,2019-11-23 13:41:42,b'stock made 70 DOW rally last 30 day aapl dis msft unh',3844,0.0,0.06666666666666667
571,2019-11-23 13:37:19,b'AAPL hourly first bearish setup week Hold low push back higher 26424 ATH test break 25828 25',153,0.125,0.2833333333333333
572,2019-11-23 13:36:03,b'AAPL hourly first bearish setup week Hold low push back higher 26424 ATH test break',4169,0.125,0.2833333333333333
573,2019-11-23 13:34:21,b'true smart move AAPL part first loss best loss',555,0.45357142857142857,0.48154761904761906
574,2019-11-23 13:34:06,b'TSLA NVDA AAPL BA FB BYND Happy Friday #tradernap DM want compound account',75804,0.8,1.0
575,2019-11-23 13:30:11,b'ACTIVE TRADERS Try one FREE trading TSLA AAPL JPM GS FB AMZN GOOGL NVDA',494,0.13333333333333336,0.7
576,2019-11-23 13:29:33,b'Celebrating 100 extraordinary game Apple Arcade iPhone iPad Apple TV Mac Find everything action',64,0.0111111111111111,0.5
577,2019-11-23 13:28:03,b'Tim Cook promise keep fighting DACA user privacy new interview AAPL',1889,0.13636363636363635,0.45454545454545453
578,2019-11-23 13:25:55,b'@KGeorgieva @IMFNews Remember Galileo big fat Know Better Gang plan #FREEUighur apo g msft tsla aapl',84,0.25,0.3
579,2019-11-23 13:25:06,b'trusted team side make difference investing tried OptionAlarm yet Fre',2776,0.0,0.0
580,2019-11-23 13:23:35,b'AAPL engaged long 101119 daily focus list using Breakout price pattern Nov 220 call paid',13827,-0.025,0.2
581,2019-11-23 13:13:33,b'Apple Inc AAPL surprised market Q1 result Bain capital changed rating Hold Apple Inc AAPL',16,0.1,0.9
582,2019-11-23 13:10:01,b'AMZN AAPL Berkshire Takes Short Sellers Bet Furniture Retailer via',216,0.0,0.3
583,2019-11-23 13:03:56,b'Explosive Stock Trading Strategies Samir Elias DIA SPX SPY FAS FAZ AAPL',1136,0.0,0.0
584,2019-11-23 13:03:01,b'Apple AAPL Elliott wave analysis Apple stock AAPL Long short WCX',2177,-0.025,0.35
585,2019-11-23 13:01:06,b'251 Profit Packed Option Trades Yearly Delivered Inbox Daily FREE AMZN GOOGL NFLX FB AAPL',494,0.2,0.4
586,2019-11-23 13:00:42,b'Zacks Brokerages Expect Apple Inc AAPL Post Quarterly Sales 8770 Billion',921,0.0,0.0
587,2019-11-23 12:59:11,b'RT Americas largest company MSFT AAPL GOOGL AMZN marijuana legal state Indiana people beaten',980,0.2,0.2
588,2019-11-23 12:53:32,b'Trading Ideas Elliott wave analysis Apple stock AAPL FREE trade week via',134038,0.4,0.8
589,2019-11-23 12:51:03,b'Elliott wave analysis Apple stock AAPL #AAPL chart',1807,0.0,0.0
590,2019-11-23 12:36:14,b'technical analysis EURUSD USDJPY SPX AAPL Gold etc one single section',55757,-0.03571428571428571,0.15714285714285714
591,2019-11-23 12:35:03,b'President Xi Chinese Communist cant silence Congress Hong Kong Human Rights Democracy Act passed',1811,0.0,0.05
592,2019-11-23 12:31:47,b'AAPL leader need take little timeout suspect pullback 20dma going ge',2573,-0.1875,0.5
593,2019-11-23 12:31:47,b'@business know always check rap sheet movie credit watching anything Good move aapl',2573,0.7,0.6000000000000001
594,2019-11-23 12:31:46,b'@thehill GS Senate busy knittin cloaked LLCs Pedophiles amp US foreign aid Emoluments Whores thieving US taxpayer',2573,-0.012499999999999997,0.2125
595,2019-11-23 12:31:28,b'SPY SPX QQQ ESF NQF RTYF ZBF GCF NDX RUT AAPL NFLX AMZN TSLA FB MSFT DIA NDX IWM QCOM GDX',1811,0.0,0.0
596,2019-11-23 12:30:13,b'ACTIVE TRADERS Try one FREE trading TSLA AAPL GILD GS FB AMZN GOOGL NVDA',494,0.13333333333333336,0.7
597,2019-11-23 12:24:54,b'AAPL leader need take little timeout suspect pullback 20dma going',1325,-0.1875,0.5
598,2019-11-23 12:18:02,b'Notable apps update Nov 18 23 AAPL',1889,0.5,0.5
599,2019-11-23 12:14:26,b'@business know always check rap sheet movie credit watching anything Good move aapl',4,0.7,0.6000000000000001
600,2019-11-23 12:13:51,b'@ABC LB APO tsla aapl wmt Need #JeffreyEpstein NYC Mansion#MarkEpstein LB apartment repurposed sign LB Pedop',2573,0.0,0.0
