2019-11-23 15:18:22,b'FUTURE APPLE road ahead tech giant service iPhones AAPL johnangel1977',220
2019-11-23 15:17:54,b'Binance CEO Suing Block China Police Raid Story SPY QQQ DJIA DIA',21249
2019-11-23 15:17:47,b'@ced70hammy Yes agree think stock extended expensive become extremely crowde',2179
2019-11-23 15:17:15,b'Got ta new IPhone Day wanted day tsla aapl #TeslaCyberTruck #Cybertruck #CYBRTRK',2573
2019-11-23 15:17:11,b'Bitcoin Price Bullish Macro Trend Intact 6800 Key SPY QQQ DJIA DIA',21249
2019-11-23 15:17:10,b'Amazing trading model Profectus Systems Stocks ETFs Options Futures Forex SPY AAPL REN MOMO DGAZ UGAZ DG TLT',844
2019-11-23 15:15:34,b'Opinion Poll FUTURE APPLE road ahead tech giant service iPhones AAPL',85
2019-11-23 15:15:11,b'Bitcoin still substantially YTD SPY QQQ DJIA DIA GLD SLV #stockmarket #investing #finance',21249
2019-11-23 15:14:32,b'Cool graphic @LeutholdGroup showing AAPL along stock recent history reached weigh',30
2019-11-23 15:14:19,b'FUTURE APPLE road ahead tech giant service iPhones AAPL',1237
2019-11-23 15:13:16,b'Got ta new IPhone Day wanted day tsla aapl #TeslaCyberTruck #Cybertruck #CYBRTRK',70
2019-11-23 15:10:32,b'#Austin #Texas #wednesday tracking #Trump #Apple tour @timcook Visiting new 1bln campus aapl build',2992
2019-11-23 15:08:02,b'@JoeBiden number non government #jobs @joebiden credited 44 year spent gov Answer Despit',1081
2019-11-23 15:05:42,b'Wall St Solver Power Rankings AAPL Apple Inc AMZN Inc MSFT Microsoft Corp',2573
2019-11-23 15:03:56,b'Get Rich Dividends Marc Lichtenfeld STX MCD PG AAPL JNJ XOM GE',1136
2019-11-23 15:02:41,b'Long thread AAPL Sometimes good sit back understandappreciate miracle around easy com',882
2019-11-23 15:02:26,b'UPDATED ANALYSIS AAPL Apple Valuation Earnings Quality Dividend Safety Scores Analysis',8628
2019-11-23 15:00:34,b'Media empire like Walt Disney spending billion compete streaming battle Netflix Apple Amazon',3
2019-11-23 15:00:25,b'#Trump playing AAPL prop #PostTruth dystopia Apple playing Trump get',110
2019-11-23 15:00:01,b'Week review Trumps policy moved stock AAPL MU WDC OCLR ACIA NPTN LITE IIVI MO BTI IMBBY PM GM FCA',134039
2019-11-23 14:59:37,b'Satya Nadella turnaround Microsoft name etched history alongside CEOs like Jack Welch amp Steve Job',2573
2019-11-23 14:55:33,b'Apple @ Work Locus Health transforming home patient care iPad AAPL',1889
2019-11-23 14:55:10,b'OptionAlarm provides Option Swing Trade Alerts REAL Results Try 10 Days',2776
2019-11-23 14:49:23,b'@thehill apo #TEAMArkansasBabyMama ole Joe etal need GO HOME jelly paw asset lb wmt aapl tsla',84
2019-11-23 14:49:11,b'Carve hour weekend review tape hot setup week recommend TOS software go',93
2019-11-23 14:47:51,b'Satya Nadella turnaround Microsoft name etched history alongside CEOs like Jack Welch amp Steve Job',1143
2019-11-23 14:47:22,b'@TweetLeni tempted sell AAPL give credit making want trash',206
2019-11-23 14:45:33,b'Week review Trumps policy moved stock AAPL MU WDC OCLR ACIA NPTN LITE IIVI MO BTI IMBBY PM',20915
